lat,lon,t2m,e,ro,tp,cdir,month_sin,sin_lat,sin_lon
10.25,79.0,0.2373698087389869,0.27041982430595035,0.08727877144901566,1.5649161427882092,0.3636914431923712,1.2210515655308825,0.4711764652000802,0.4664269476604051
10.25,79.25,0.2951944799589537,0.3183744910514958,0.1311956307767209,2.500693072601395,0.4098747608130691,0.9245203927199166,0.6047532742463734,0.42766444796130865
10.5,76.25,0.23051533787648235,0.20145890918098494,0.17821048754164967,2.791527425227653,0.6109511940175997,0.7363151607626405,0.5994712063944105,0.3322098644147802
10.5,76.5,0.1958131304237476,0.1785148377271912,0.18951315629939033,2.8446082464234856,0.39326515936477396,0.8662270198574324,0.59434376024724,0.39460861196805447
10.5,76.75,0.2108229963433224,0.20371674848584875,0.22577824342851638,2.3605172830530727,0.531168493835012,0.952547472194595,0.5000874204115836,0.27424717662432335
10.5,77.0,0.19436151827085388,0.2962512866173209,0.14055559458605044,1.4486000068519362,0.5390038192280975,0.8808187279370775,0.45134270263734294,0.23196915641659954
10.5,77.25,0.19802568694205425,0.29653550786274113,0.19176696220298883,1.9970000864338362,0.5235957062019015,0.8043254895585817,0.435374114005915,0.3237310079118996
10.5,77.5,0.1933445679495556,0.24003823998201174,0.1729798952612136,1.9099349804288572,0.4365883486974981,0.8684483074685408,0.5068643725909667,0.4907117496420845
10.5,77.75,0.1929385391230945,0.2827263025152995,0.1667329033690578,2.120686521556734,0.47444922116086025,0.776227184553916,0.5130682170675525,0.5076126855419294
10.5,78.0,0.14332453174009385,0.2797646420495426,0.10092525221594112,1.8023406303648324,0.48641283873656066,0.9458489989258487,0.6054913062486567,0.5113862788726452
10.5,78.25,0.22792838631284396,0.3368817254496891,0.1712980749240624,2.3042234928940446,0.6834239859611414,0.6265171102158877,0.665282772534208,0.48795416177896406
10.5,78.5,0.279056943434094,0.3197506782209026,0.1092833350749186,2.1003670228980895,0.45365797607635305,0.933520251697101,0.586539488444359,0.461038116680617
10.5,78.75,0.314121624101997,0.26335867080709285,0.14861126364911711,1.2719681999658226,0.3610412886924145,1.1654408004665646,0.6859539280152471,0.5091031637132655
10.5,79.0,0.27015231487378266,0.35648402331982987,0.13489318863596875,1.776555037510263,0.4496965711334891,0.8693312421983129,0.645090602822358,0.40590664531694587
10.5,79.25,0.19537067193227017,0.39690472628396023,0.1650065980707029,1.730216539260501,0.4544510506071214,0.8359114890684761,0.5372955215018148,0.36401107489196555
10.5,79.5,0.33742011080990736,0.3205327193393083,0.1550933390256273,2.401069594802986,0.46069136857736037,0.9448555058453773,0.61156497374822,0.32228964818309785
10.5,79.75,0.26009789544235645,0.2548122904198621,0.1966195410296625,2.675876148982177,0.4466466490122502,0.7680741204354186,0.7338711977012338,0.38959716926936494
10.75,76.0,0.27451504307961483,0.1834791826407324,0.18296319633646507,3.110239808131813,0.4466764535699237,0.8143492706829184,0.4252029235997282,0.3951516783534884
10.75,76.25,0.19686538942847895,0.19373480780909663,0.20744517116895297,2.951929470051106,0.35824549609112794,0.8165947046134349,0.43868436344787237,0.400185405083486
