lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
10.0,76.5,0.7083333333333334,0.48166666666666663,0.7355902777777779,0.5071023346207132,0.5042424242424242,48,0.8666666666666667,0.375,0.6666666666666666,0.0,0.5
10.0,76.75,0.75,0.4137123745819398,0.7341950018580453,0.4659589491213032,0.5082352941176471,48,0.927536231884058,0.3076923076923077,0.0,0.5,0.3333333333333333
10.0,77.0,0.7708333333333334,0.512437417654809,0.789034365393061,0.5377098413963878,0.6342342342342342,48,0.8985507246376812,0.36363636363636365,0.0,0.5,0.8
10.0,77.25,0.7083333333333334,0.3651240778001341,0.7670467247932037,0.3744456967016493,0.39897435897435896,48,0.8732394366197183,0.0,0.2857142857142857,0.0,0.6666666666666666
10.0,77.5,0.7291666666666666,0.3136842105263158,0.8071271929824562,0.33384255454368744,0.4418604651162791,48,0.868421052631579,0.2,0.0,0.5,0.0
10.0,77.75,0.7708333333333334,0.5097165991902834,0.8341767881241565,0.42278308749296384,0.6607142857142857,48,0.8947368421052632,0.15384615384615385,0.5,1.0,0.0
10.0,78.0,0.8333333333333334,0.7124060150375939,0.8641134085213033,0.5746123453409757,0.7759146341463414,48,0.9210526315789473,0.42857142857142855,0.5,1.0,0.0
10.0,78.25,0.8333333333333334,0.6580086580086579,0.8643578643578644,0.5433647553145036,0.8195121951219513,48,0.935064935064935,0.36363636363636365,0.3333333333333333,1.0,0.0
10.0,78.5,0.875,0.6652097902097902,0.8914869852369852,0.6385251234902848,0.875609756097561,48,0.9487179487179487,0.5454545454545454,0.5,0.6666666666666666,0.0
10.0,78.75,0.875,0.7512345679012346,0.8890432098765432,0.5639880633059811,0.8511904761904762,48,0.9382716049382716,0.4,0.6666666666666666,1.0,0.0
10.0,79.0,0.8541666666666666,0.6091772151898734,0.8548259493670886,0.5267641800371149,0.5943223443223443,48,0.9367088607594937,0.5,0.0,0.0,1.0
10.25,76.25,0.75,0.5418703160638644,0.7548875855327469,0.5456571828631569,0.5354166666666667,48,0.8709677419354839,0.4444444444444444,0.7272727272727273,0.0,0.6666666666666666
10.25,76.5,0.7291666666666666,0.4012486064659978,0.7166016350798959,0.4168466043747641,0.49901960784313726,48,0.8985507246376812,0.3076923076923077,0.4,0.0,0.4
10.25,76.75,0.7291666666666666,0.3368809272918862,0.6852717773094485,0.35749046460935396,0.3106060606060606,48,0.8767123287671232,0.3076923076923077,0.0,0.0,0.5
10.25,77.0,0.7916666666666666,0.42865497076023396,0.7718079922027289,0.4396335047465097,0.37777777777777777,48,0.9210526315789473,0.2222222222222222,0.5,0.0,0.5
10.25,77.25,0.8541666666666666,0.4922077922077922,0.8310786435786435,0.5948991741620568,0.54,48,0.961038961038961,0.3333333333333333,0.6666666666666666,0.5,0.0
10.25,77.5,0.8958333333333334,0.6788888888888889,0.8806712962962963,0.6539514552561414,0.6748717948717948,48,0.95,0.4444444444444444,1.0,1.0,0.0
10.25,77.75,0.8958333333333334,0.4553212851405622,0.8820699464524765,0.599440991599139,0.5833333333333333,48,0.9879518072289156,0.5,0.3333333333333333,0.0,0.0
10.25,78.0,0.8958333333333334,0.5116071428571429,0.901264880952381,0.6616253898932031,0.6128048780487805,48,0.975,0.5,0.5714285714285714,0.0,0.0
10.25,78.25,0.8333333333333334,0.42862165963431786,0.8612869198312235,0.49770560718241025,0.5119047619047619,48,0.9367088607594937,0.3333333333333333,0.4444444444444444,0.0,0.0
10.25,78.5,0.875,0.5357905982905983,0.8640046296296297,0.617454670613543,0.5871794871794872,48,0.9487179487179487,0.4444444444444444,0.75,0.0,0.0
10.25,78.75,0.8125,0.5611814345991561,0.8340365682137834,0.39821574843778085,0.5695121951219513,48,0.9113924050632911,0.3333333333333333,0.0,0.0,1.0
10.25,79.0,0.8958333333333334,0.4683982683982684,0.9030483405483406,0.7086381677748876,0.60625,48,0.961038961038961,0.7142857142857143,0.6666666666666666,0.0,0.0
10.25,79.25,0.8958333333333334,0.542,0.8945833333333333,0.7305682109202787,0.7307692307692308,48,0.96,0.75,0.0,0.0,1.0
10.5,76.25,0.6041666666666666,0.36848816029143894,0.5971273527625987,0.2824955571762019,0.3516666666666667,48,0.7868852459016393,0.3333333333333333,0.2222222222222222,0.0,0.5
10.5,76.5,0.6875,0.4163742690058479,0.6849415204678362,0.5042199717668394,0.4170634920634921,48,0.8888888888888888,0.5263157894736842,0.0,0.0,0.6666666666666666
10.5,76.75,0.7708333333333334,0.6654761904761906,0.785094246031746,0.5795877438341089,0.7363636363636363,48,0.875,0.42857142857142855,0.5,0.6666666666666666,0.8571428571428571
10.5,77.0,0.7291666666666666,0.3530089628681178,0.7563887110542039,0.3815270360845273,0.3396396396396396,48,0.9014084507042254,0.0,0.36363636363636365,0.0,0.5
10.5,77.25,0.8333333333333334,0.4891891891891892,0.8467060810810811,0.5961215524795431,0.5794871794871794,48,0.9459459459459459,0.25,0.75,0.0,0.5
10.5,77.5,0.875,0.5786324786324786,0.8913817663817664,0.6517877645681174,0.6804878048780487,48,0.9487179487179487,0.4444444444444444,1.0,0.5,0.0
10.5,77.75,0.875,0.540530303030303,0.8792297979797978,0.6104368729566678,0.7261904761904762,48,0.95,0.5454545454545454,0.0,0.6666666666666666,0.0
10.5,78.0,0.75,0.47375,0.8156597222222223,0.4448070795576397,0.748062015503876,48,0.8533333333333334,0.375,0.6666666666666666,0.0,0.0
10.5,78.25,0.8541666666666666,0.49409090909090914,0.8835700757575756,0.5653999540003161,0.7151162790697674,48,0.925,0.5454545454545454,1.0,0.0,0.0
10.5,78.5,0.8541666666666666,0.7474358974358974,0.881303418803419,0.6051893483802357,0.8809523809523809,48,0.9230769230769231,0.4,0.6666666666666666,1.0,0.0
10.5,78.75,0.75,0.3388185654008439,0.7954026019690575,0.23600434663540948,0.5310077519379846,48,0.8607594936708861,0.16666666666666666,0.6666666666666666,0.0,0.0
10.5,79.0,0.875,0.42128514056224897,0.8961680053547524,0.5518357029031513,0.7215909090909091,48,0.9397590361445783,0.5,0.6666666666666666,0.0,0.0
10.5,79.25,0.8541666666666666,0.40499999999999997,0.8697916666666666,0.5292631303557276,0.6577380952380952,48,0.925,0.6,0.5,0.0,0.0
10.5,79.5,0.8958333333333334,0.3283333333333333,0.9022569444444445,0.6494992019508572,0.4378048780487805,48,0.975,0.6666666666666666,0.0,0.0,0.0
10.5,79.75,0.9375,0.49746835443037973,0.9373681434599157,0.8015357658402585,0.61875,48,0.9873417721518988,0.8333333333333334,0.6666666666666666,0.0,0.0
10.75,76.0,0.6875,0.3970779220779221,0.668864989177489,0.4045061277313665,0.38731182795698926,48,0.875,0.42857142857142855,0.18181818181818182,0.0,0.5
10.75,76.25,0.5833333333333334,0.37121182899389266,0.5935578056359155,0.24742338061492694,0.3555299539170507,48,0.7540983606557377,0.23529411764705882,0.2,0.0,0.6666666666666666
10.75,76.5,0.6875,0.49171374764595105,0.7096476773383552,0.4789814271843547,0.51625,48,0.847457627118644,0.5,0.4444444444444444,0.0,0.6666666666666666
10.75,76.75,0.6041666666666666,0.36943881000676126,0.6759916610322289,0.3484965960954941,0.413961038961039,48,0.8275862068965517,0.0,0.35294117647058826,0.0,0.6666666666666666
10.75,77.0,0.75,0.5022710622710622,0.755860805860806,0.5148442820162789,0.553921568627451,48,0.8923076923076924,0.5333333333333333,0.2857142857142857,0.0,0.8
10.75,77.25,0.7291666666666666,0.47142857142857136,0.7862103174603176,0.4217349008412768,0.5557017543859649,48,0.8571428571428571,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666
10.75,77.5,0.7291666666666666,0.311706102117061,0.7732072436695724,0.3641381686857607,0.36,48,0.8767123287671232,0.18181818181818182,0.5,0.0,0.0
10.75,77.75,0.75,0.3441780821917808,0.793093607305936,0.40214586326943397,0.48888888888888893,48,0.8767123287671232,0.5,0.0,0.0,0.0
10.75,78.0,0.7083333333333334,0.3356807511737089,0.7563086854460094,0.35525626679328826,0.5625,48,0.8450704225352113,0.3333333333333333,0.5,0.0,0.0
10.75,78.25,0.7916666666666666,0.3504504504504505,0.8213213213213213,0.4928830103810083,0.5625,48,0.918918918918919,0.3333333333333333,0.5,0.0,0.0
